geneSys	gene	mutant	log2FC	adj.p	log2FC.i	adj.p.i
Q0045	COX1	SIT4	Inf	NA	12.8102300510121	0.0250711
Q0250	COX2	IRA2	-0.599679796359229	0.312102666886551	-0.599679796359229	0.312102666886551
Q0250	COX2	POP1	0.09555792389925	0.896088587670707	0.09555792389925	0.896088587670707
Q0250	COX2	SSY5	-0.698483384642682	0.282721699959915	-0.698483384642682	0.282721699959915
Q0250	COX2	RAS22	0.34555587382559	0.560664878085202	0.34555587382559	0.560664878085202
Q0250	COX2	SIT4	2.53188602445937	4.26485433635373e-4	2.53188602445937	4.26485433635373e-4
Q0250	COX2	RAS21	-Inf	NA	-12.1860570086032	0.0244926
R0030W	NA	RAS21	Inf	NA	6.87002779802567	0.039227
R0040C	NA	SSY5	-0.0460711000153965	0.951484899421952	-0.0460711000153965	0.951484899421952
R0040C	NA	POP1	-0.534435334096409	0.466728032605234	-0.534435334096409	0.466728032605234
R0040C	NA	RAS22	-0.432113197396295	0.602160106923004	-0.432113197396295	0.602160106923004
R0040C	NA	IRA2	0.322514752521454	0.687039496149868	0.322514752521454	0.687039496149868
R0040C	NA	RAS21	-0.236851052735841	0.782616473107988	-0.236851052735841	0.782616473107988
R0040C	NA	SIT4	-0.688255258723839	0.529924808619716	-0.688255258723839	0.529924808619716
YAL003W	EFB1	SIT4	-0.566063601214321	0.041266393397654	-0.566063601214321	0.041266393397654
YAL003W	EFB1	RAS22	-0.415487763719646	0.119762367767521	-0.415487763719646	0.119762367767521
YAL003W	EFB1	SSY5	-0.230837164003944	0.418281163280032	-0.230837164003944	0.418281163280032
YAL003W	EFB1	IRA2	0.076745567264577	0.81799213667763	0.076745567264577	0.81799213667763
YAL003W	EFB1	RAS21	-0.414112211676199	0.143390122376622	-0.414112211676199	0.143390122376622
YAL003W	EFB1	POP1	-0.806885928009863	0.00689498143092687	-0.806885928009863	0.00689498143092687
YAL005C	SSA1	RAS22	0.642927948783369	0.00171828668042737	0.642927948783369	0.00171828668042737
