# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	1.136628419120363186e-03
19	1.704942628680544995e-03
20	5.683142095601815928e-04
21	1.704942628680544995e-03
22	5.683142095601815928e-04
23	3.978199466921271583e-03
24	1.136628419120363186e-03
25	1.136628419120363186e-03
26	4.546513676481452743e-03
27	1.136628419120363186e-03
28	1.704942628680544995e-03
29	1.136628419120363186e-03
30	1.704942628680544995e-03
31	1.136628419120363186e-03
32	5.114827886041634769e-03
33	1.136628419120363186e-03
34	1.136628419120363186e-03
35	1.704942628680544995e-03
36	1.136628419120363186e-03
37	1.136628419120363186e-03
38	2.841571047800907964e-03
39	1.136628419120363186e-03
40	3.409885257361089991e-03
41	1.136628419120363186e-03
42	1.136628419120363186e-03
43	1.136628419120363186e-03
44	5.114827886041634769e-03
45	9.661341562523087512e-03
46	2.841571047800907964e-03
47	1.307122681988417794e-02
48	1.704942628680544995e-03
49	1.136628419120363186e-03
50	6.251456305161997955e-03
51	1.704942628680544995e-03
52	1.704942628680544995e-03
53	7.388084724282361140e-03
54	2.273256838240726371e-03
55	5.683142095601815928e-04
56	5.683142095601815928e-04
57	1.136628419120363186e-03
58	1.136628419120363186e-03
59	1.136628419120363186e-03
60	5.683142095601815928e-04
61	5.683142095601815928e-04
62	5.683142095601815928e-04
63	5.683142095601815928e-04
64	5.683142095601815928e-04
65	5.683142095601815928e-04
66	5.683142095601815928e-04
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
