# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	1.704942628680544995e-03
18	1.591279786768508633e-02
19	1.989099733460635705e-02
20	2.443751101108780979e-02
21	5.171659306997652972e-02
22	3.353053836405071875e-02
23	6.478781988986070939e-02
24	2.500582522064799182e-02
25	2.330088259196744574e-02
26	3.978199466921271410e-02
27	5.728607232366630386e-01
28	8.860018527043231895e-01
29	5.285322148909689377e-02
30	1.704942628680545039e-02
31	2.494899379969197362e-01
32	3.239390994493035247e+00
33	4.205525150745344221e-02
34	1.989099733460635705e-02
35	2.159593996328690313e-02
36	6.251456305161998128e-02
37	5.967299200381907115e-02
38	2.646070959712205628e+00
39	6.762939093766161258e-02
40	1.477616944856472228e-02
41	7.274421882370324388e-01
42	1.022965577208326954e-02
43	1.932268312504617502e-02
44	1.397200484203706594e+01
45	2.841741542063776294e+01
46	4.091862308833307815e-02
47	3.166646775669331948e+00
48	8.070061775754579225e-02
49	1.005916150921521424e-01
50	4.376019413613398829e-02
51	8.070061775754579225e-02
52	2.784739626844889848e-02
53	8.638375985314761252e-02
54	5.285322148909689377e-02
55	1.079796998164345156e-02
56	2.614245363976835587e-02
57	5.512647832733762188e-02
58	1.136628419120363186e-03
59	1.136628419120363186e-03
60	5.683142095601815928e-04
61	5.683142095601815928e-04
62	5.683142095601815928e-04
63	5.683142095601815928e-04
64	5.683142095601815928e-04
65	5.683142095601815928e-04
66	5.683142095601815928e-04
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
